,assignments
SS2_16_249-2:A1_unique.bam,Hub
SS2_16_249-2:A2_unique.bam,Hub
SS2_16_249-2:A6_unique.bam,Hub
SS2_16_249-2:A3_unique.bam,Hub
SS2_16_249-2:A5_unique.bam,Hub
SS2_16_249-2:A4_unique.bam,ChC
SS2_16_249-2:A8_unique.bam,Hub
SS2_16_249-2:A7_unique.bam,ChC
SS2_16_249-2:A9_unique.bam,Hub
SS2_16_249-2:A11_unique.bam,Hub
SS2_16_249-2:A10_unique.bam,Hub
SS2_16_249-2:A12_unique.bam,Hub
SS2_16_249-2:A14_unique.bam,ChC
SS2_16_249-2:A13_unique.bam,Hub
SS2_16_249-2:A15_unique.bam,Hub
SS2_16_249-2:A16_unique.bam,Hub
SS2_16_249-2:A17_unique.bam,Hub
SS2_16_249-2:A18_unique.bam,ChC
SS2_16_249-2:A20_unique.bam,Hub
SS2_16_249-2:A19_unique.bam,Hub
SS2_16_249-2:A21_unique.bam,ChC
SS2_16_249-2:A22_unique.bam,Hub
SS2_16_249-2:A24_unique.bam,Hub
SS2_16_249-2:A23_unique.bam,ChC
SS2_16_249-2:B1_unique.bam,Hub
SS2_16_249-2:B3_unique.bam,ChC
SS2_16_249-2:B2_unique.bam,Hub
SS2_16_249-2:B4_unique.bam,Hub
SS2_16_249-2:B6_unique.bam,Hub
SS2_16_249-2:B5_unique.bam,ChC
SS2_16_249-2:B7_unique.bam,ChC
SS2_16_249-2:B8_unique.bam,Hub
SS2_16_249-2:B9_unique.bam,Hub
SS2_16_249-2:B11_unique.bam,Hub
SS2_16_249-2:B10_unique.bam,Hub
SS2_16_249-2:B12_unique.bam,ChC
SS2_16_249-2:B13_unique.bam,Hub
SS2_16_249-2:B14_unique.bam,Hub
SS2_16_249-2:B15_unique.bam,Hub
SS2_16_249-2:B16_unique.bam,ChC
SS2_16_249-2:B17_unique.bam,none
SS2_16_249-2:B19_unique.bam,ChC
SS2_16_249-2:B18_unique.bam,ChC
SS2_16_249-2:B20_unique.bam,Hub
SS2_16_249-2:B21_unique.bam,Hub
SS2_16_249-2:B22_unique.bam,Hub
SS2_16_249-2:B23_unique.bam,symp. neu.
SS2_16_249-2:B24_unique.bam,Hub
SS2_16_249-2:C1_unique.bam,ChC
SS2_16_249-2:C2_unique.bam,none
SS2_16_249-2:C3_unique.bam,Hub
SS2_16_249-2:C4_unique.bam,none
SS2_16_249-2:C5_unique.bam,Hub
SS2_16_249-2:C7_unique.bam,ChC
SS2_16_249-2:C6_unique.bam,Hub
SS2_16_249-2:C8_unique.bam,none
SS2_16_249-2:C9_unique.bam,ChC
SS2_16_249-2:C10_unique.bam,ChC
SS2_16_249-2:C11_unique.bam,ChC
SS2_16_249-2:C12_unique.bam,Hub
SS2_16_249-2:C13_unique.bam,ChC
SS2_16_249-2:C15_unique.bam,ChC
SS2_16_249-2:C14_unique.bam,Hub
SS2_16_249-2:C16_unique.bam,Hub
SS2_16_249-2:C17_unique.bam,none
SS2_16_249-2:C18_unique.bam,ChC
SS2_16_249-2:C19_unique.bam,Hub
SS2_16_249-2:C20_unique.bam,ChC
SS2_16_249-2:C21_unique.bam,Hub
SS2_16_249-2:C22_unique.bam,Hub
SS2_16_249-2:C24_unique.bam,none
SS2_16_249-2:C23_unique.bam,Hub
SS2_16_249-2:D1_unique.bam,Hub
SS2_16_249-2:D3_unique.bam,Hub
SS2_16_249-2:D2_unique.bam,Hub
SS2_16_249-2:D6_unique.bam,Hub
SS2_16_249-2:D4_unique.bam,Hub
SS2_16_249-2:D5_unique.bam,Hub
SS2_16_249-2:D7_unique.bam,symp. neu.
SS2_16_249-2:D8_unique.bam,Hub
SS2_16_249-2:D11_unique.bam,ChC
SS2_16_249-2:D10_unique.bam,Hub
SS2_16_249-2:D9_unique.bam,Hub
SS2_16_249-2:D12_unique.bam,symp. neu.
SS2_16_249-2:D13_unique.bam,Hub
SS2_16_249-2:D14_unique.bam,Hub
SS2_16_249-2:D16_unique.bam,symp. neu.
SS2_16_249-2:D15_unique.bam,Hub
SS2_16_249-2:D17_unique.bam,Hub
SS2_16_249-2:D18_unique.bam,ChC
SS2_16_249-2:D20_unique.bam,Hub
SS2_16_249-2:D19_unique.bam,ChC
SS2_16_249-2:D22_unique.bam,Hub
SS2_16_249-2:D21_unique.bam,Hub
SS2_16_249-2:D23_unique.bam,ChC
SS2_16_249-2:D24_unique.bam,Hub
SS2_16_249-2:E2_unique.bam,Hub
SS2_16_249-2:E1_unique.bam,Hub
SS2_16_249-2:E3_unique.bam,Hub
SS2_16_249-2:E5_unique.bam,ChC
SS2_16_249-2:E6_unique.bam,symp. neu.
SS2_16_249-2:E7_unique.bam,ChC
SS2_16_249-2:E8_unique.bam,Hub
SS2_16_249-2:E9_unique.bam,Hub
SS2_16_249-2:E11_unique.bam,ChC
SS2_16_249-2:E10_unique.bam,none
SS2_16_249-2:E12_unique.bam,Hub
SS2_16_249-2:E13_unique.bam,Hub
SS2_16_249-2:E14_unique.bam,Hub
SS2_16_249-2:E15_unique.bam,ChC
SS2_16_249-2:E16_unique.bam,Hub
SS2_16_249-2:E18_unique.bam,enteric neu.
SS2_16_249-2:E17_unique.bam,ChC
SS2_16_249-2:E19_unique.bam,Hub
SS2_16_249-2:E20_unique.bam,Hub
SS2_16_249-2:E21_unique.bam,Hub
